,제품,age,skintype,review
0,핑크 그레이프후룻 샤워젤,30,복합성,향이 매력적인 새워젤 거품도 풍성하게 남 다만 펌핑타입이아니라 과다 사용할때가있음 펌프타입이 나왔으면 좋겠다 싶은제품
1,핑크 그레이프후룻 샤워젤,31,건성,저의 최애 샤워젤이에요 향기가 너무 달콤하고 피부가 보드라워서 꾸준히 사용하고 있어요 
2,핑크 그레이프후룻 샤워젤,23,복합성,향이 정말 좋아요 완전 자몽향인데 그 향이 딱 씻을 때만 나고 씻고 나서는 거의 안 나는게 너무 아쉬운 제품이에요 세정력은 괜찮았습니다 
3,핑크 그레이프후룻 샤워젤,29,복합성,더바디샵 핑크그레이프후룻 샤워젤 제가 향덕후여서 화장품이나 바디용품이나 향있는게 좋아요 달콤한 향이라 기분까지 상쾌하게 해주는 샤워젤이죠 꾸리할때 쓰면 기분전환 좋아요
4,핑크 그레이프후룻 샤워젤,21,지성,향  원래 샤워젤이라 함은 첫째도 향 둘째도 향이 중요한 것 아니겠습니까 세상에 마상에 여러분 이 제품 향이 너무 좋습니다 패키지에서부터 강렬한 자몽 향이 뿜뿜할 거 같긴 했지만 정말 상상 이상으로 향이 대박입니다 여름에 쓰기 딱 좋을 상 큼 한 자몽향입니다 젤 색깔도 핑크색인데 한번 샤워볼에 쭉 짜서 문질문질하면 정말 샤워실을 가득 메울 엄청난 자몽향을 느끼실 수 있습니다 사용감 뒤탈 없는 깔끔한 사용감입니다 샤워젤 중 향에만 집중한 경우 가끔 피부에 잔여감이 남는 경우가 있는데 이 제품은 그런 것 전혀 없이 깔끔하게 씻깁니다 특히 여름에 보습이랍시고 피부에 미끄러운 느낌이 남으면 정말 찝찝하고 기분이 영 별론데 이 제품은 여름에도 상쾌하게 쓸 수 있습니다  가성비 가격이 착합니다 더바디샵 이라는 괜찮은 브랜드에 좋은 제품력 가격이 비쌀 요건을 갖추었는데도 가격이 정말 착합니다 공식몰 외의 소셜에서 구매하면 더욱 착한 가격을 만나보실 수 있습니다 물론 양이 좀 적은 편이지만 이만하면 가성비 면에서는 훌륭하지 싶네요 건조한 마무리 샤워 후 몸이 뽀득 매끈하다는 건 사실 양날의 검과 같은 점입니다 저와 같은 지성 피부이신 분들은 잔여감이 없어서 좋어허실 테고 건성분들은 피부가 너무 건조해 따로 바디크림을 발라야만 하는 수고가 생길테니까요 이 제품 역시 그렇습니다 건성분들한테는 여름 외의 계절에 사용하실때 상당히 건조하다고 느끼실 것 같아요 양 양이 정말 적습니다 샤워젤은 원래 소모품이라서 정말 금방 쓰지요 일주일에 적어도 번 꼴로 사용하게 되잖아요 거기다 한 번 쓸 때 거품 잘 나라고 듬뿍듬뿍 쓰는 저는 특히 양이 많이 아쉽습니다 한달 쓰니까 땡이네요 대용량이 있으면 좋겠어요 
5,핑크 그레이프후룻 샤워젤,18,복합성,향 지속이 오래가진 않지만 자몽향이 너무 좋아서 샤워하는 동안 행복하게 샤워할 수 있어요
6,핑크 그레이프후룻 샤워젤,29,복합성,향 너무 좋고 거품도 잘나서 완전 만족스러워요
7,핑크 그레이프후룻 샤워젤,22,복합성,자몽냄새를 좋아한다면 꼭 구매해야하는 제품이라고 생각합니다 냄새가 너무 좋아요 씻고나면 자몽냄새가 은은해서 너무 좋습니다 보습력은 보통인거같은데 거품은 되게 잘나는 제형인거 같아요
8,핑크 그레이프후룻 샤워젤,24,건성,장점 장점 잘 모르겠어요 예전에 선물 받았던 거 쓴 기억으로 남기는 리뷰입니다 단점 향이 호불호 갈리는 건 아는데 저한테는 진짜 별로에요큐 자몽 실제로도 좋아하고 자몽 음료도 좋아하는데 얘는 너무 인위적이고 세제 냄새 납니다 자몽향 바디워시가 아니라 자몽향 퐁퐁으로 씻는 기분이에요 잘 씻겨지는 느낌도 아니고 제 돈 주고는 안 살 것 같아요 
9,핑크 그레이프후룻 샤워젤,50,복합성,이 제품은 진짜 향이 다 했어요 상큼하고 쌉싸레한 향이 사계절 다 좋지만 특히 봄 여름에 더 좋은 거 같아요 좋아해서 늘 대용량을 구매해서 사용하는데 적당한 거품과 많이 미끄덩거리지 않고 헹궈지는 것도 편하게 사용할수 있는 이유입니다 단점은 기대에 미치지 못하는 향 지속력 샤워할 때만 맡을 수 있고 헹궈내면 향이 없어요 다만 욕실에 잔향만이 남아 있을 뿐 이 제품은 내가 쓸때도 좋지만 선물용으로도 좋아요 
10,핑크 그레이프후룻 샤워젤,30,복합성,샤워할 때 쓰면 자몽향 때문에 샤워실이 자몽냄새로 가득차서 좋아요 향기 너무너무 좋습니다 상큼한 자몽향 좋아하시는 분들은 진짜 좋아할것같은 제품입니다 거품도 풍성하게 잘 일어나서 좋아요
11,핑크 그레이프후룻 샤워젤,27,중성,자몽 덕후한테는 너무 좋은 바디 워시입니다 자몽향이 너무 인위적이지 않아서 좋아요 뭔가 부드럽게 나는 향기같은 느낌입니다 상큼한 자몽향때문에 재구매하고싶은 제품입니다 너무 좋아오 
12,핑크 그레이프후룻 샤워젤,29,민감성,향을 상큼하고 달달하게 잘 구현해낸 제품이에요 기분 전환용으로 쓰기 좋아요 샤워하는 내내 향을 즐길 수 있어요 그치만 향의 지속력이 짧아서 물로 헹궈내고 나면 바로 사라져서 아쉬워요 바디로션하고 함께 써도 지속력이 그렇게 좋진 않습니다  
