,Unnamed: 0,제품,age,skintype,review
0,0,껌딱지 시트 마스크 어성초 스티커,15,민감성,한번에 효과를 넘 좋아요 여드름 진정에 굿굿 한번 꼭 써보세용
1,1,껌딱지 시트 마스크 어성초 스티커,21,복합성,올리브영 세일때 피부 트러블때문에 급하게 샀던 마스팩입니당 트러블에 가장 효과를 많이본 마스크팩이였어용 항상 세일때 쟁여두는 마스크팩 
2,2,껌딱지 시트 마스크 어성초 스티커,23,민감성,인기 많은 제품이라고 들었는데 생각보다 그저 그랬음 막 와 엄청 좋다거나 효과가 두드러지게 나타나지는 않았음 재구매 딱히 안할듯 세일하면 한번 사서 써보세요 이 제품도 약간 케바케인듯해요
3,3,껌딱지 시트 마스크 어성초 스티커,26,복합성,밀착력도 좋고 시트에 있는 에센스 양도 많아서 마스크팩 하고 남은 양으로 또 피부에 발라주고 있어요 단점은 가격이 쪼금 비싸다는거 그래서 세일할때 쟁여놓고 있음 
4,4,껌딱지 시트 마스크 어성초 스티커,52,복합성,화장전에 쓰기좋은 마스크에요 다만 넘나얇아서 딱 붙긴하지만 얼굴에 붙일때 시간이좀걸려요 그것빼곤 만족합니다 
5,5,껌딱지 시트 마스크 어성초 스티커,21,복합성,이거 진짜 좋아요 피부 진정에도 좋고 다른 팩들은 하고 자고 일어나면 얼굴에 유분 폭발하는데 얘는 안 그렇고 되게 좋아요 인생템 될듯 
6,6,껌딱지 시트 마스크 어성초 스티커,27,건성,유명한줄은 알았지만 평소에시트마스크를 자주챙겨하는 편이 아니라서 별생각이 없었다가 가족이 집에사두어서 써보게되었습니다 밀착력이 정말 좋아서 사용감이 좋았어요 그리고 사용한 다음날 바로 안색이환해보이는 느낌이더라구요 저뿐만아니라 다른 사람도 피부가 좋아보인다고해서 이래서 마스크팩 하나보다했습니다 끈적거리지도 않고 사용감이 좋아서 가끔씩써보려합니덩
7,7,껌딱지 시트 마스크 어성초 스티커,27,건성,유명해서 써봤는데 좋은건 잘 모르겠어요 세일할때 사면 좋은 것 같아요
8,8,껌딱지 시트 마스크 어성초 스티커,27,복합성,갑자기 뜬금 뾰루지나 트러블이 생겼다 그럴땐 자기 전 아비브 어성초 스티커팩 쓰는게 이젠 루틴이 된 것 같아요 마스크팩 시트가 다른 마스크팩보다 더 촉촉하고 쫀득해서 피부에 더 밀착되는 느낌이 좋아요 효과는 말할 것도 없구요 항상 여러개 쟁여두고 쓰는 꿀템이랍니당
9,9,껌딱지 시트 마스크 어성초 스티커,38,중성,시트가 맘에 드는 제품이예요 들어있는 에센스도 부담스럽지 않고 끈적임 없어서 데일리 수분케어하기 좋습니다 시트가 에센스를 오래 머금고 있어서 금방 건조해지지 않아 저녁에 붙이고 머리 말리는데 얼굴을 드라이기 열로부터 보호해줄 수 있어 좋아요
10,10,껌딱지 시트 마스크 어성초 스티커,32,건성,그냥 좋은지도 모르겠고 안좋은지도 모르겠고 
11,11,껌딱지 시트 마스크 어성초 스티커,28,복합성,개인적으로 이 팩은 사용할때마다 효과가 이랬다 저랬다 하는데 아무래도 에센스 양이 엄청 많고 본인에게는 주관적으로 끈적하게 마무리되다보니 여름에 쓰면 좀 별로고 가을겨울 같이 좀 건조한 계절에 쓰면 참 좋다 아 근데 팩하는 중에 너무 주룩주룩 흐르는건 좀 불편하긴 함 어성초 자체는 피부에 잘 맞는지 진정에 도움이 돼서 세일할때 조금씩 쟁여놓는중 가격이 쪼끔 비싸다 생각되어 손갈때마다 쓰는 그런 용도는 아니고 그냥 좀 수분도 필요하고 진정도 필요할때 응급처치용으로 사용함 
12,12,껌딱지 시트 마스크 어성초 스티커,23,복합성,이름처럼 껌딱지처럼 붙는 마스크팩이어서 빈틈없이 얼굴에 잘 밀착됩니다 다만 향이 좀 기분좋은 향은 아니네요 촉촉하고 좋은데 가격도 좀 쎈편이라 전 이가격이면 메디힐을 쓰고싶습니다 효능은 비슷한것 같아요
13,13,껌딱지 시트 마스크 어성초 스티커,23,복합성,더워진 날씨때문인지 얼굴에 트러블이 많이 올라오고 열감이 느껴져서 급하게 진정 케어용으로 구매했어요 지인들에게 들었던 후기대로 진정되는 속도도 빠르고 껌딱지라는 이름답게 밀착력이 좋아서 만족스러웠어요 시트도 잘 늘어나서 본인 얼굴에 맞게 사용하기 좋더라구요 갑작스럽게 트러블 올라오면 여러 번 구매해서 사용할 것 같아요 아 그리고 어성초가 본인 피부에 맞지 않을까 고민되시는 분이나 피부가 민감하신 분들은 ph시트 먼저 사용해보시는 것도 좋을 것 같아요 전 민감성 피부가 아니고 아비브 제품들 자체가 성분이 나쁘지 않아서 껌딱지 시트 바로 사용했었습니다 
14,14,껌딱지 시트 마스크 어성초 스티커,26,건성,그냥 정말 무난하다 큰 장점도 단점도 없어서 쓰기 무난하나 이 가격으로는 차라리 다른것을 쓸듯
15,15,껌딱지 시트 마스크 어성초 스티커,28,복합성,이 마스크팩은 할인 할때마다 늘 쟁여놓는 제품이에요 우선 가장 두드러진 장점은 밀착력 이름처럼 정말 얼굴에 딱 밀착이되서 내용물이 더 잘 피부에 전달되는 느낌이에요 수분 진정 효과도 너무 좋아서 다음날 화장이 꼭 잘먹어야하는 날이다 하는날에는 전날 무조건 이 팩을 붙여줍니다 그럼 다음날 피부가 그렇게 촉촉할수가없어요 너무 추천합니당
16,16,껌딱지 시트 마스크 어성초 스티커,26,건성,진짜 피부에 찰떡같이 붙네여 내용물도 많고 엄청 촉촉해요
17,17,껌딱지 시트 마스크 어성초 스티커,20,민감성,효과는 미미했고요 눈이랑 입구멍이 너무 작더라고요 눈에 에센스 흐르고 입구멍이 진짜 많이 작아요 에센스가 진짜 충분히 있어서 그건 좋았어요 그리고 잘 붙어있고 흡수도 잘 돼서 좋았습니다
18,18,껌딱지 시트 마스크 어성초 스티커,32,지성,개인적으로 마스크팩은 밀착력이랑 눈코입 구멍이 나에게 잘 맞는지가 제일 중요하다고 생각하거든요 근데 시중에 파는 마스크팩들 보면 유명해서 써봤는데 눈코입이 이건 뭐 사람을 기준으로 만든게 맞나 싶을정도로 요상한게 많더라구요 코가 겁나 짧아서 이건 무슨 만5세의 코 길이에나 맞겠다 싶은것도있고 그렇게 코가 짧은것들이 대부분 눈도 외계인만큼 크게 뚫어져있어서 눈주변은 하나도 케어가 안돼욬 인중은 또 어찌나 짧거나 긴지 지금까지 쓴 얘기 전부다 유명해서 써본 메X힐 제품 얘기였구요 아비브는 눈코입이 저한테 딱맞고 크기도 딱이고 밀착력도 너무좋아서 꾸준히 쓰고있어요 이제 아비브 없이는 못살아요 
19,19,껌딱지 시트 마스크 어성초 스티커,24,복합성,지금까지 써본 어성초 관련 제품 중에서 진정효과를 제일 많이본 제품임다 제 피부상태는 들어가는 작은 여드름 좁쌀 몇개 이마에 분포해있어욤 다른 마스크들은 더 올라오거나 처음에만 효과있고 그 후론 미미했는데 얘는 트러블 싹 들어가는게 눈에 딱 보여서 너무 신기했음 후에 다시 올라오지도 않고 우와 껌딱지 시트도 처음 접해봐서 신기했어요 얼굴에 착 붙으면서도 메마르지 않고 눈코입에 맞추느라 애쓸 필요도 없었습니다 저한텐 넉넉했는지 턱라인 밑 까지 붙이게됐지만 써본것중에 가장 잘맞는 시트였어요 들어있는 에센스도 많아서 이틀은 내리 팍팍 썼습니다 다자연 어성초처럼 묽지만 살짝 더 점도있음 흡수도 빠른편이라고 느꼈어요 향은 좀 별로임 너무 팍팍 썼는지 볼에 뾰루지 하나가 살짝 나긴했지만 금방 들어가는거니까 괜찮습니당 사실 이마가 더 스트레스였기에 그래도 원가가 마스크치곤 비싼거같아서 올영 세일때 쟁이는걸로 결정했습니다 쵝오쵝오 개인차가 있으니 모두에게 효과는 없겠지만 한번쯤은 써볼만하다고 생각해요
