,Unnamed: 0,제품,age,skintype,review
0,0,우든 패들 브러시,29,건성,정말 제 머리 잘 엉키는데 이거로 빗으면 정말 마술처럼 잘 빗겨져요 정말 강추드립니다 머리 마사지도 잘되구요
1,1,우든 패들 브러시,29,복합성,산지 3년 정도 됐는데 짱짱하게 잘 쓰고있는 제품 머릿결 정돈 확실하게 잘되고 정전기가 덜 남 그리고 빗이 크고 끝이 둥글어서 머리에 통통거리고 두들기면 마사지 되는 느낌이고 좋다 머리감기전에 빗고 감으면 샴푸가 더 구석구석되는 느낌임 나무빗은 물에 넣고 씻으면 안된다는데 그냥 씻어봤고 전혀 이상없었음
2,2,우든 패들 브러시,27,민감성,무게가 너무 가볍고 그립감이 좋아서 좋고 머리가 숱이 많은 편인데 이 빗으로 빗어주면 두피 마사지가 되는 느낌으로 시원하고 잘 빗겨요 머리를 빗고 두피에 통통 두르려주면 시원하면서 두피 마사지가 돼서 좋아요
3,3,우든 패들 브러시,27,민감성,와 이건 탈색모 극손상모 꼭 사야할 빗이에요 진짜 손상되서 엉키고 뭉친 머리 풀어주는데 대박이에요 
4,4,우든 패들 브러시,31,건성,입소문듣고 샀음 5년정도된것같은데 아주튼튼하게 잘쓰고있어요 머리진짜 미용실서 이제 파마탈색염색 안해주는 개털오브개털인데 이걸로잇으면 잠시나마 평안을 찾을수가 있엉요 른빗으로안빗길때도 이걸로 스윽하면 스 으으으으윽 힘줌 슥 슥 일케 됨 
5,5,우든 패들 브러시,28,민감성,좋아오 인생 빗 등극입니다 머리숱이 많은 편인데 안쪽까지 시원하게 빗겨져요 머리 다 말리고 슥슥 빗어주면 결도 차분해짐 
6,6,우든 패들 브러시,40,중성,잘쓰던 빗이 쓴지 7년쯤되니 머리빗을때마다 지진난것처럼 갈라져서 빗이빨들이 하나둘씩 후두둑 떨어져나가는거 실화입니까 내구성 약해서 별하나 뺍니다
7,7,우든 패들 브러시,39,민감성,이것보다 작게 나온 브러시로 사용중인데 저한테는 불편하지않고 딱 좋았어요 빗이 왜 이리 비싸 했다가 꾸준히 나가는건 이유가 있겠지했는데 빗질도 시원하고 머리카락 잘 잡고 쓱쓱 빗으면 엉킨 부분도 잘 풀려서 1개정도 소장해도 괜찮은 빗이에요 
8,8,우든 패들 브러시,25,민감성,이거 없으면 못삼 허리까지 오는 긴 머리에 푸석푸석한 손상모발에 곱슬까지 가지고 있음 그래서 모발 관리를 평소에 되게 잘해주는 편인데 이 브러쉬 알게된 후로는 이것만 씀 되게 든든한 짝꿍같곸 항상 여행갈때도 챙겨가야함 엉킨걸 안뜯기게 잘 풀어주고 엄청 커서 여러번 빗질할 필요가 없음 그리고 빗을때마다 머리 엉킨거 잘 풀어주고 무엇보다 부드러워져서 너무 만족하며 사용중 
9,9,우든 패들 브러시,33,중성,파마든 생머리든 상관없이 빗을 수 있고 빗고 나면 너무 부드러워져서 좋습니다 무조건 추천합니다 사용하고 엄마에게도 선물하니 너무 좋아합니다 자주 빗어주면 좋다고 해서 하루에 몇번씩 빗어주니 정전기도 안나고 좋습니다 
