,Unnamed: 0,제품,age,skintype,review
0,0,자작나무 수분 패드,21,복합성,설문단을 통해 처음 접하게된 브랜드이자 제품이었는데 패드가 정말 얇고 양도 엄청 많아서 사실 놀랐어요 우선 향은 은은한 로션냄새 딱히 거부감들지않은 향으로 정말 순하고 하나로 촉촉하게 오래 사용할 수 있는 제품이에요 요즘 마스크쓰는데 황사도 심하고 피부 트러블때문에 힘들었는데 너무 잘 쓰고 있어요 다쓰고 재 구매 생각있어요 
1,1,자작나무 수분 패드,32,복합성,피부타입 사춘기때 여드름 피부 원래 지성이나 나이들어가며 건성피부 유수분유지 돕는 기초제품 꼼꼼하고 깐깐하게 선택하는 편 로션으로 에스트라 아토배리어365로션 정착 토너패드가 궁금했고 데이비 브랜드 니들리 샘플로 를 써봤지만 편하긴 엄청 편한데 에센스양이 부족하다고 생각이 되서 일반적인 화장품은 에센스 액이 가득있잖아요 토너패드는 그 가성비를 생각하면 제기준에 맞지않다고 생각하고 관심을 끄려고 하던 찰나 설문단에 당첨됐지요 에센스 양은 데이비 것처럼 패드들이 대부분 머금고있어서 통안 바닥쪽에서 찰랑거리긴하는데 이건 맘에 드는부분이 패드가 제가 써본 세종류 중에 가장 얇아요 피자 도우로 치면 씬피자 같달까요 얇아서 손으로 들고있으면 손이 비치는 정도 이거 기획하시는 분들이 얇게 하려고 연구 하셨겠다 라고 생각이 들었어요 얇아서 얼굴에 얹으면 착 달라붙어서 좋아요 양면이 같고 각질제거보단 닦토 토너팩을 위해 만들어진 면 같아요 쿨링 진정되는 효과가 있어서도 좋아요 25000원 정가 주고 사기엔 다소 비싼것 같고 할인할때 사면 모든게 귀찮은날 슥슥 얼굴에 이걸 문질러주고 휴지통에 버리면 스킨 끝 아쉬운점은 돌려서 열어야한다는것과 실링지를 떼고나면 돌려서 닫았음에도 액이 밖으로 흘를수 있다는점이예요 
2,2,자작나무 수분 패드,27,복합성,설문단 당첨돼서 써봒는데 진짜 좋아여 다른패드에 비해 촉촉하고 부드럽구 느낌도 좋아요 피부 진정효과도 있는것같애요 다쓰면 구매해볼 생각이에요 
3,3,자작나무 수분 패드,27,복합성,제가써본 패드중 젤좋은거같아요 수분도 진짜 촉촉하고 다른 패드는 결정리하는정도만 하는느낌인데 이패드는 수분이 진짜 많고 앰플바른듯 촉촉함이 오래가요
4,4,자작나무 수분 패드,29,건성,일단 다른것보다 한장만 써봐도 느껴지는 충분한 에센스양에 놀랬어요 요즘 마스크도 끼고 날씨도 춥다더웠다 해서 피부가 많이 예민해진 상태였는데 5분정도 붙여놨다가 떼어내니 피부를 진정시키기에 아주좋았어요 용량도 80매에 25 000원이면 완전 가격도 착하네요 화장하기전에 드라이하면서 딱 붙이고 화장하면 화장도 잘먹어서 너무 괜찮네요 
5,5,자작나무 수분 패드,26,복합성,일단 향은 없구요 아주 얇은 재질 패드에 피부에 챡 감기는 감촉이 좋아요 얼굴에 열이 많은 편인데 세안 한 번 하고 붙이면 열이 내려가서 화장이 잘 먹어서 좋아요 저처럼 얼굴에 열 많은 사람들 빠르게 열 식히는 용으로 추천드려요 다만 집게 같은게 없어서 오염이 좀 걱정됩니다 
6,6,자작나무 수분 패드,24,복합성,피부타입 수부지 트러블 예민성 향 무향까지는 아니고 은은하게 나는 연고향 장점 확실히 약산성이라 자극도 없고 순함 패드를 집을 수 있는 투명 집게도 같이 받았는데 패드꺼낼 때 너무 유용함 통 내부를 기울여 보니 에센스가 찰랑찰랑하는게 보일 정도로 다른 패드에 비해 많이 들어있음 피부결을 정돈하고 5분정도 간단하게 부분진정팩으로 사용가능하다는 점 80매로 양이 굉장히 넉넉함 여러 패드를 사용해봤는데 대부분 사용 후에 피부가 당기고 살짝 따끔따끔한 느낌도 있었는데 이 제품은 전혀 그런 느낌이 없어서 예민한 피부도 부담없이 사용 가능 단점 두께가 너무 얇아서 적혀있는 설명대로 피부결을 따라 닦아내려니 패드가 자꾸 밀림 다른 패드는 한쪽은 엠보싱 면 한쪽은 거즈면이라 각질 제거 효과가 대부분 있는데 수분 진정 패드라 그런지는 몰라도 엠보싱면이 없고 양쪽 면이 동일함 각질제거용으로 사용은 어려울듯 함 추천피부타입 건성 예민성 구매의사 75 
7,7,자작나무 수분 패드,24,건성,받아서 오늘 사용 해 본 결과 향이 난다 거나 그런건 없구요 그만큼 순해서 그런가 그냥 순수한 물로 수분을 깊은 곳 부터 가볍게 채워줘서 진짜 좋아요 오래 써보면 이거에 진가를 알게 되지 않을까 싶어용 
8,8,자작나무 수분 패드,25,복합성,제가 여름만 되면 저자극 피부결케어를 위해 늘 사용해오던 라운드랩 독도토너가 독도패드로 70매의 패드가 들어 있구요 전용 집게도 박스에 내장되어 있어서 같이 쓰심 됩니다 독도토너는 독도패드토너와 다르게 냄새가 없더라구요 패드토너는 정말 좋은 향이 나는데 액체토너는 그냥 거의 무향이라고 봐도 될 정도였습니다 덕분에 저 같이 예민하신 분들도 아무런 걱정 없이 편하게 모공관리할 수 있을 것 같네요
9,9,자작나무 수분 패드,29,복합성,유화이쌤 추천으로 이 라인 수분크림을 잘 쓰고 있는데 패드를 설문단으로 이 제품을 받게 됫어요 리뷰는 의무가 아닌데도 리뷰를 씁니다 너무 좋아서 일주일에 2 3번씩 반신욕을 하는데 얼굴에 열감이 심해서 반신욕 후에는 꼭 마스크팩을 합니다 마스크팩 후에도 열이 안내려갈때도 있었는데 이 수분패드는 즉각적인 쿨링감이 대박이에요 실온에 보관하니깐 너무 차갑지 않아서 자극감도 없구요 냉장보관한 마스크팩보다 훨씬 좋네요 원래 마스크팩 쟁여두는데 이 패드 만나고는 팩도 안사고 있어요 제가 원하는 수분충전 쿨링 이 정말 확실한 패드에요 깊은 보습은x 패드라서 간편하고 마스크팩처럼 헤어라인이나 목에도 안묻고 손에도 안묻어서 너무 좋아요 남자친구한테도 선물하려구요 재구매의사 1000 
10,10,자작나무 수분 패드,28,복합성,수분감 완전 짱짱함 패드 하나에 포함된 에센스 양도 넉넉하다 수부지인데 확실히 일반 닦토보다 속당김이 적은게 느껴졌고 여름에는 열감 내리는 용으로 딱일 것 같음 향 있는 화장품 안 좋아하는데 거의 무향에 가까운 것도 만족스러웠다 
11,11,자작나무 수분 패드,24,복합성,평가단 당첨되서 남기는 후기입니다 라운드렙 제품 유명하다 유명하다 소리는 많이 들었지만 사용해본적은 이번 제품이 처음이네요 정말 상상이상으로 만족스러웠어요 마스크팩처럼 얇게 밀착되는 패드로 평소 얼굴에 열감을 많이 느끼는데 받자마자 양 볼에 하나씩 올려서 진정시켜줬네요 성분도 순하고 쿨링효과도 있고 너무 좋아서 다 쓰고 난 후에 구입할 예정입니다
12,12,자작나무 수분 패드,26,건성,와 진짜 촉촉하고 솜이 얇아서 이걸로 수분팩 해도 될정도 예요 냄새에 민감한편인데 거부감 없었고 간단하게 쓱 지나가기만 해도 수분이 채워져요 마무리가 가볍고 흡수가 빠르다는 장점이 있네요 다만 아쉬운점은 패드가 너무 얇아서 가끔 두개씩 꺼내진다는 그리고 캡형식이였으면 좀더 편했을것 같은 아쉬움이 남았어요 각질제거는 잘 모르겠고 수분감 하나는 확실해요 여름철에 물놀이다녀와서 쓱 올려놔도 진정될것 같아요 올 여름엔 이패드로 지내야겠어요 
