Column1,제품,age,skintype,review
0,드링크업 오버나이트 수분 마스크,31,민감성,건조 민감 여드름 피부인데 특별히 트러블이 나거나 하진 않았어요 발림이 엄청 기분좋게 부드러워요 향도 제가 이런 향을 좋아해서 그런지 거부감없었어요 
1,드링크업 오버나이트 수분 마스크,30,민감성,촉촉한걸 원하는 분은 괜찮아요 꾸덕함을 원하면 노놉 
2,드링크업 오버나이트 수분 마스크,26,민감성,자기전 평소에도 그냥 어디건조할때 바르기조음 근데확실히 자기전바르고 다음날이 효과젤조은듯
3,드링크업 오버나이트 수분 마스크,36,복합성,민감성 수부지 피부 호불호가 있을 것 같아요 특유의 향이 있습니다 수부지 이지만 너무 번들거리는걸 싫어하는데 약간의 번들거림이 있고 진정효과는 잘 모르겠어요 하지만 아침 당김이 없고 그냥저냥 쓰기엔 쏘쏘 재구매는 안할듯 합니다
4,드링크업 오버나이트 수분 마스크,30,민감성,우선 향이 진짜진짜 좋아요 밤에 자기전에 바르고 흡수시킨 후 잠들고 나면 다음날 아침에 씻어낼때 피부가 부들부들 탱탱 해진것을 느낄 수 있습니다 면세로 사서 진짜 잘 쓰고 있어요 특히 뭔가 건조하고 피곤한 날 야근할때 저는 꼭 바르는 편입니다 유분 부담없이 수분 풀충전 되는 느낌이구요 민감성 피부인데 트러블도 안나네요 방치해두고 씻어내도 되지만 개인적으로는 하루 꼬박 바르고 잤을때 효과가 제일 좋은 것 같아요 재구매 의사 있습니다
5,드링크업 오버나이트 수분 마스크,26,민감성,안쓴사람없길 수면팩은 베게에묻어나서 진짜극혐하는데 이거진짜최고
6,드링크업 오버나이트 수분 마스크,36,복합성,슬리핑마스크의 거의 시초 아닌가 싶은 제품 넘 만족스럽게 쓰는 제품인데 오리진스는 다 망하는건지 1 1하더니 매장도 이제 거의 없는 것 같아요 
7,드링크업 오버나이트 수분 마스크,29,건성,무엇보다 향이 정말 좋아요 상큼한 과일향이 나서 바를때마다 기분이 좋네요 영양이 부족하다고 생각되는날 저녁에 바르고 자면 정말 부들부들하고 촉촉한 피부가 됩니다 건성 피부인데도 토너만 바르고 이걸 발라도 무리없이 부드럽게 발립니다 스킨케어 이것저것 많이 사용해봤는데 정말 처음 맡아본 향이라서 향때문이라도 정말 추천하고 싶어요 제품력은 말할것도 없구요 
8,드링크업 오버나이트 수분 마스크,43,건성,피부 까칠할때 효과 최고예요 면세에서 사면 저렴한데 요즘 면세점을 못가서 넘나 아쉽네요
9,드링크업 오버나이트 수분 마스크,25,복합성,옛날에 유럽갈때 면세점에서 샀어요 비행기에서 너무 건조해서 세수하고 이거 바르고 잤는데 꿀피부가 되었어요 원래 피부가 민감해서 여행할때 잘 뒤집어지는데 이 친구와 함께하니 보습도 잘되고 좋은 컨디션으로 여행했어요 듬뿍 바르고 자면 다음날 맨들맨들 쵸크쳐크해집니더 강추예염
10,드링크업 오버나이트 수분 마스크,31,복합성,마스크팩은 시간이 지나면 떼어내야 되는데 이거는 수면핵이라 그냥 올리고 자면 되고 일단 제가 써봤던 마스크팩들 보다 아침에 일어났을 때 피부에 수분감이 가득하고 귀찮을 때 이것만 올리고 자면 돼서 재구매 의사 1000 
11,드링크업 오버나이트 수분 마스크,24,건성,저는 건성인데 조금만 밸런스가 깨지면 얼굴이 뒤집어지는 피부에요 해외에서 생활 중이라서 가을 겨울 봄 내내 히터틀고 많이 건조한데 자기전에 스킨케어 마무리 단계에서 발라주면 다음 날 아침까지 얼굴이 쫀쫀하더라구요 확실히 에센스 수분크림만 바른 것과는 차이가 있어요 자고 일어나면 얼굴이 다 말라있는 분들에게 추천드려요
12,드링크업 오버나이트 수분 마스크,39,건성,뭘 발라도 건조하시다 하시는 분들 꼭 사용해보세요 수분 유분을 꽉 채워주는 느낌입니다 대신 지성분들이 사용하면 여드름 폭발할 거 같은 느낌 손에 발라줘도 건조함을 잘 잡아줍니다 향은 약간 복숭아향이 나요 
13,드링크업 오버나이트 수분 마스크,29,복합성,좋다고 유명해서 구매했습니다 우선 향이 좋다는 평이 많은데 저는 너무 향이 세고 별로였어요 바르면 바로 흡수되고 다음날 촉촉하긴 하지만 이 가격대비 별로입니다 
14,드링크업 오버나이트 수분 마스크,30,건성,나이트 수분팩으로 너무 좋아요 자극없이 편한느낌이고 바르고자면 담날 크림으로 팩한거처럼 피부가 부들부들 하네요
15,드링크업 오버나이트 수분 마스크,28,복합성,오리진스에서 젤 유명한 제품이라고 해서 계속 장바구니에 담아놨다가 사봤어요 처음에 손에 테스터해볼때는 유분감이 많고 끈적거리길래 걱정했는데 가을오는 환절기부터 제 피부는 악악건성으로 바로 변해서 잘 산것 같더라구요 악악건성에게 부족한 수분감을 채우기는 조금 아쉽지만 그래도 충분한 보습역할을 하는 것 같아요 
16,드링크업 오버나이트 수분 마스크,29,건성,진짜 너무 좋아요 와 기초 마지막 단계에 두껍게 올리는 식으로 바르고 자면 다음날 꿀피부에 화장도 엄청 잘먹어요 제품은 너무 좋아서 단점이 없지만 가격이 아주 엄청난 단점 
17,드링크업 오버나이트 수분 마스크,30,건성,전 민감성 핵건성 피부인데 저한테 이만큼 더 잘 맞았던 기초 제품이 없었던 것처럼 너무 좋아요 왜 안사요 바르는 즉시 피부가 물을 마시는 기분이 들 정도로 수분감이 올라오구요 피부가 굉장히 편안해져요 슬리핑 마스크를 해도 다음날 눈에 띄게 효과가 있는 경우는 잘 없었는데 이 제품은 수고 다음 날 피부가 보들보들해지고 안색도 맑아지고 너무 좋아요 예뻐보이고 싶은 날 전날 또는 화장독이 올라오거나 피부 진정이 필요할 때 씁니다 진정 효과도 좋았어요 패키지에 quench skin s thirst 라고 써있어요 진짜 딱 이에요
18,드링크업 오버나이트 수분 마스크,30,복합성,저는 일년동안 가끔씩 썼는데 쓸때마다 따갑고 오늘은 얼굴이 붉어졌어요 적응될줄알았는데 영 안맞아요 친구들이 좋대서 썼는데 민감성 피부는 비추에요
19,드링크업 오버나이트 수분 마스크,33,복합성,최애 슬리핑 팩 이튿날에 피부가 수분을 마구마구 마신 촉촉함과 부드러움 
20,드링크업 오버나이트 수분 마스크,32,복합성,오리진스에서 가장 대표적인 아이템이라고해서 혹해서 써봤었는데요 두번사용하고 별효과못느꼈네요 
21,드링크업 오버나이트 수분 마스크,37,건성,오리진스 브랜드 좋아해서 건조한 피부라 수면팩으로 더 좋아질까 해서 구매했어요 텍스처가 바르고 나면 살짝 끈적거림이 있고 베게에는 묻어 나고 하진 않더라고요 건조할때마다 사용했는데 딱히 더 좋아졌다기 보단 아침에 덜 건조함을 느끼고요 가격대비 괜찮지만 저는 재구매는 안할것같아요 
22,드링크업 오버나이트 수분 마스크,27,건성,면세점 일위 제품이라 사서 싸봤는데 흠 뭐가 좋은지 잘 모르겠어요 돈값 하는정도는 아니에요 특유 향도 있고 베개에 잘 안묻어요 피부 컨디션이 좋아진다거나하는 효과를 못봐서 재구매는 안할거같아요 
23,드링크업 오버나이트 수분 마스크,30,민감성,크게 기대를 안하고 발랐지만 초크초크함과 쫀쫀함의 유지가 갑 
24,드링크업 오버나이트 수분 마스크,28,중성,베개에 덜 묻어나는 수면팩으로 역할을 다함 얇게 발리면서 다음날 야악 간 매끈해진 피부결을 보여줌 향이 생각보다 강해서 놀랐음 가벼운 느낌은 아니에요 
25,드링크업 오버나이트 수분 마스크,34,건성,요즘 수분크림으로는 부족한것같아 슬리핑팩 찾다가 구매했어요 일단 향이 엄청 좋아요 달콤한 향인데 향 강한거 싫으신 분은 패스하셔요 저희 딸은 저 이거바르고나서 잠자리 누우면 엄마한테 냄새난다고 꼭 그러더라구요 그정도로 향이 강해요 발림성은 좋아서 크림 대용으로 써도 무난한 정도이구 페이셜오일이 함유되어있어서 여드름 피부에 괜찮으려나 싶은데 아직까지는 잘 쓰고있어요 여드름 심한 부위는 건조해져서 일어나고 간지러운데 이제품 바르고 자면 그게 덜해요 피부 좋으신분들한테는 더 효과잇을것 같아요 추천합니다 
26,드링크업 오버나이트 수분 마스크,27,지성,화장 잘 먹어야 한다거나 요즘 피부가 건조하다싶을 때 쓰면 늘 기대를 저버리지 않는 수면팩 하나사고 또사고 다음에 떨어지면 또살예정
27,드링크업 오버나이트 수분 마스크,28,복합성,피부 컨디션 좋을 때는 피부를 더 촉촉하게 해주지만 예민할 때는 살짝 자극적이었고 트러블 유발했어요 
28,드링크업 오버나이트 수분 마스크,22,지성,친척분이 조금 쓰던걸 주셔서 바르는데 진짜 얇게 발리고 촉촉해요 건조할때 한번 발라주면 겉당김 속당김 다 해결되더라구요 촉촉한 대신에 좀 많이 기름져서 여드름 날것 같은 느낌이지만 양조절해서 바르면 완전 굿굿
29,드링크업 오버나이트 수분 마스크,30,복합성, 글쎄 오리진스 브랜드를 좋아하지만 저랑은 넘나 안맞네요 이 제품도 뭔가 불편해서 결국 다 못썼어요 향도 좋고 다 좋고 담날 피부가 좋아지는데 뭔가 안맞아서 결국 다 못써서 아쉬워요
30,드링크업 오버나이트 수분 마스크,32,복합성,개인적으로 촉촉한 타입을 좋아해서인지 굉장히 쫀득쫀득한 발림성으로 피부가 너무 딥해지는 느낌이들어 아쉬웠습니다 향은 완전 좋아요 쫀쫀한것을 좋아하시는분들은 추천합니다 
