Column1,Á¦Ç°,age,skintype,review,rating,class
0,¼½½º ¹ã,27,º¹ÇÕ¼º,ÁÖ¸»¿¡ °¡²û »ç¿ëÇÏ´Âµ¥ µû¶æÇÑ ¹°¿¡ ÇÃ¾î³õÀ¸¸é ¹°ÀÌ ÇÎÅ©»öÀ¸·Î º¯ÇÏ¸é¼­ ÇâÀÌ ÀºÀºÇÏ°Ô ÆÛÁ®¼­ ÁÁ¾Ò°í ÇÇ·Î°¡ ´Ù Ç®¸®´Â ´À³¦ÀÌ¿©¼­ ³Ê¹« ÁÁ¾Ò¾î¿ä ÇâÀÌ Á¤¸» ÁÁ¾Æ¿ä °ÅÇ°Àº °ÅÀÇ ¾ø´Ù°í º¸½Ã¸é µÅ¿ä ÇÑ¹ø »ç¿ëÇÏ°í ³ª¸é ÁÁ¾Æ¼­ ¶Ç ±¸¸ÅÇÏ°Ô µÇ´Â°Å °°¾Æ¿ä,4,±àÁ¤
1,¼½½º ¹ã,22,Áö¼º,ÀÌ¸§¸¸Å­ ¸¶À½¿¡ µå´Â ¹è¾²¹ãÀÌ¿¹¿ä ¿ì¼± ·ÎÁîÇâÀÌ  Àú¸¦ Áß¼¼½Ã´ë ±ÍÁ·À¸·Î ¸¸µé¾îÁÖ°í¿© ÇÎÅ©ºû Ç® ¾È¿¡ ¶°´Ù´Ï´Â ·ÎÁî°¡ È­·æÁ¡Á¤ÀÌ¿¹¿ä »ç¶ûÇØ¿ä ¼½½º¹ã,5,±àÁ¤
2,¼½½º ¹ã,34,¹Î°¨¼º,Áý¿¡¼­ ÈÞ½ÄÇÒ¶§±âºÐ³×±â ³Ê¹« ÁÁ¾Æ¿ä ¸±·¢½ºÇÏ´Ï ÆíÇÏ°Ô ½¬¸é¼­ ¹Ý½Ä¿åÀ» ÇÏ¸é ÇÏ·ç Èú¸µÀÌ´õ·¯±¸¿ä,5,±àÁ¤
3,¼½½º ¹ã,33,¹Î°¨¼º,¿åÁ¶¿¡ µû¶æÇÑ ¹° Æ²¾î³õ°í ¹ã Ç®¾î³õÀ¸´Ï ¿À¹¦ÇÏ°Ô ÆìÁö¸é¼­ ÀºÀºÇÑ ÇâÀÌ ¿Ã¶ó¿À´Ï ±× Çâ¸¸À¸·Îµµ Èú¸µÀÌ µË´Ï´Ù À½¾Ç±îÁö Æ²¾î³õÀ¸´Ï Áö»ó³«¿øÀÌ µû·Î ¾ø³×¿ë ÇÇºÎ°¡ ¿¹¹ÎÇÏ°í ¾àÇÑ ÆíÀÎµ¥ ¸ñ¿åÇÏ°í ³ª¿À´Ï ¸öµµ ºÎµéºÎµé ÇÏ°í °£Áö·´°Å³ª µû°©°Å³ª ÀüÇô ±×·¯Áö ¾Ê¾Æ¿ë ±âºÐ ÁÁ¾ÆÁö´Â ÀÕÅÛÀÔ´Ï´ç ÇÇ·ÎÇÔÀ» ´À³¥ ¶§  ¿ÏÀü ÃßÃµÇØ¿ë ??,5,±àÁ¤
4,¼½½º ¹ã,28,°Ç¼º,ÀÔ¿åÁ¦ÇÏ¸é ´©°¡ ¹¹·¡µµ ·¯½¬ ™G¹ã ¾Æ´Õ´Ï±î   ÀÏ´Ü ÇâÀÌ ³Ê¹«ÁÁ±¸¿ä Àú´Â ¹öºí ¾ø´Â°É ´õ ¼±È£ÇÏ´Â ÆíÀÌ¶ó Á¤¸» ¾Æ½¬¿î°Å ¾øÀÌ ¸¸Á·¸¸Á·   °¡²û ¿åÁ¶¿¡ »ö±ò³²°Å³ª ÆÞ³²´Â°ÍµéÀº ºä´ã½º·¯¿ö¼­ ¸ø¾²°Ú´øµ¥ ÀÌ°Ç ±ò²ûÇÏ°Ô ¾²±â ÁÁ¾Æ¼­ Á¦ÀÏ ¸¹ÀÌ ¾²´Â°Í °°¾Æ¿©,4,±àÁ¤
5,¼½½º ¹ã,25,º¹ÇÕ¼º,Çâµµ ÁÁ°í Ç®¾îÁö¸é¼­ ºñ´©²ÉÀÙ °°ÀÌ ³ª¿Í¿ä ºÐÀ§±â ¾÷ µÉ ¼ö ÀÖ½À´Ï´Ù,5,±àÁ¤
6,¼½½º ¹ã,26,º¹ÇÕ¼º,¼±¹° ¹Þ¾Æ¼­ ³²Ä£ÀÌ¶û ³î·¯°¬À» ¶§ ½áºÃ´Âµ¥ ¿åÁ¶ Ã»¼Ò Á¦´ë·Î ¾ÈµÇ¾îÀÖ¾ú´ÂÁö     ¹° ¶§ ÀÖ´Â ºÎºÐ ¿¡ ÇÎÅ©»öÀ¸·Î ¶ì°¡ »ý±è Å¥  °ÅÇ°Àº º°·Î ¾È³ª´Â ÆíÀÎµ¥ ÇâÀÌ ÁÁ¾Æ¼­ ¼±¹° ¹ÞÀ¸¸é ±âºÐ ÁÁ°Ô ¾²´Â Á¦Ç°,4,±àÁ¤
7,¼½½º ¹ã,28,°Ç¼º,¸öÀÌ À¯³­È÷ Èûµç ³¯ »ç¿ëÇß´Âµ¥ ÁøÇÑ ÇÎÅ©»öÀ¸·Î Ç®¾îÁö¸é¼­ ¸¶Áö¸·¿¡ ²ÉÀÙ µÕµÕ ¶ß´Â °Ô ±Í¿©¿ò  Çâµµ ÁÁ´Ù ,4,±àÁ¤
8,¼½½º ¹ã,23,Áß¼º,°³ÀÎÀûÀ¸·Î Á¤¸» ÁÁ¾ÆÇÏ´Â Çâ ÇâÀÌ ³Ê¹« ÁÁ¾Æ¼­ ¼½½º ¹ã ¹Ùµð ½ºÇÁ·¹ÀÌ±îÁö ±¸¸ÅÇß¾î¿ä ,5,±àÁ¤
9,¼½½º ¹ã,21,¹Î°¨¼º,¼±¹°·Î ¹Þ¾Ò´Ù°¡ ³Ê¹« Àß »ç¿ëÇØ¼­ Á÷Á¢ ±¸¸ÅÇØ¼­ »ç¿ëÇß¾î¿ë  ÂÉ°³¼­ ¸î ¹ø ³ª´²¼­ »ç¿ëÇØµµ ÃæºÐÇÑ°Å°°¾Æ¿ä  »öµµ ¿¹»Ú°í  Çâµµ ÁÁ°í ±âºÐÁÁ¾ÆÁö´Â ÇâÀÌ¿¡¿ë  ,5,±àÁ¤
10,¼½½º ¹ã,26,°Ç¼º,ÇâÀÌ ³Ê¹« ÀºÀºÇÏ°Ô ÁÁ¾Æ¿ä µÇ°Ô »ç¶û½º·¯¿î ÇâÀÌ ³ª¿ä,5,±àÁ¤
11,¼½½º ¹ã,22,º¹ÇÕ¼º,Çâµµ ÁÁ°í »ö±òµµ ÁÁ¾Æ¿ä  ¹«µåÀÖ°Ô ¾²°í½ÍÀ»¶§ µüÀÎ°Í°°¾Æ¿ä  ¿¡¼¾½º°°Àº°Ô µé¾îÀÖ¾î¼­ »þ¿öÇÏ°í ³ª¿Íµµ °è¼Ó ¸Å²ô·¯¿î ´À³¦ÀÌ À¯ÁöµÇ°í º¸½À·Âµµ ¾î´ÀÁ¤µµ ÀÖ´Â°Í°°¾Æ¼­ Àç±¸¸Å ÀÇ»çÀÖ¾î¿ä ÁøÂ¥ °­Ãßµå¸³´Ï´ç,5,±àÁ¤
12,¼½½º ¹ã,26,Áö¼º, ÀåÁ¡  ±âºÐ³»±â¿¡ µü ÁÁ¾Æ¿ä   ÇÐºÎ»ýÀÏ¶§ Áý ÁÖº¯ ¹éÈ­Á¡¿¡¼­ ¿©·¯¹ø »ç¼­ ½è¾ú´ø   ÇâÀº ³Ê¹« °­ÇÏÁö ¾Ê°í ÀºÀºÇÑ ÇÃ·Î·² Çâ¿¡´Ù ¸ö¿¡ ³²´Â ´À³¦ÀÌ Àû¾î¼­ ¾È½ÉµÇ¾úÀ½   ´ÜÁ¡  ¾Æ¹«·¡µµ °¡°ÝÀÌ°ÚÁÒ   ¸ñ¿å ÇÑ¹ø¿¡ 8900¿øÀ» ¾Æ¹«·¸Áöµµ ¾Ê°Ô ½è´ø°Å Áö±Ý »ý°¢ÇÏ¸é ½Å±âÇÔ   ¿ëµ·¹Þ¾Æ ¾²´ø½ÃÀýÀÌ ¿ÀÈ÷·Á Áö±Ýº¸´Ù ¾¸¾¸ÀÌ°¡ ÈÎ ÇìÆâ´ø°Å °°³×¿ä ,4,±àÁ¤
13,¼½½º ¹ã,25,º¹ÇÕ¼º,°ÅÇ°ÀÌ ¾È³ª´Â Å¸ÀÔÀÌ°í  Àú´Â ±×³É ±×·¨¾î¿ä   ´Ù¸¥ ¹è¾²¹ã ÃßÃµ ,3,ºÎÁ¤
14,¼½½º ¹ã,24,¹Î°¨¼º,·¯½¬¿¡¼­ Á¦ÀÏ À¯¸íÇÑ ¹è¾²¹ãÀÌÁÒ   ³¿»õµµ ³Ê¹« ÁÁ°í ¶óº¥´õ ¼ººÐÀÌ ÀÖ¾î¼­ Àú³á¿¡ »ç¿ëÇÏ°í ÀÚ¸é  Àáµµ ¼Ö¼Ö¿Í¿ä  ¶ÇÇÑ ÀÌ¸§Ã³·³ ºÐÀ§±â Àâ±â¿¡ Âü ÁÁÀº ¹è¾²¹ãÀÎ°Å °°¾Æ¿ä  ¹°¿¡ Ç®¾îÁö¸é¼­ ÇÎÅ©ºûÀÌ µ¹¸é¼­  À§¿¡ ÀÖ´Â ²ÉÀÌ ¸¶Áö¸·¿¡ ¹°¿¡ µ¿µ¿ ¶ß°í ¾ÆÁÖ ¿¹»Þ´Ï´Ù  ÁøÂ¥ °­Ãß¿¹¿ä   ,5,±àÁ¤
