Column2,brand,제품,10대,20대,30대,40대 이상,freq,Oily,Dry,Sensitive,Normal,Combination,0점,1점,2점,3점,성분개수,평균값
0,abib,껌딱지 시트 마스크 마데카소사이드 스티커,9,84,20,3,0,22,21,17,4,52,0,26,1,0,27,1.037037037
1,abib,껌딱지 시트 마스크 밀크 스티커,5,64,42,8,0,11,29,25,9,45,2,31,5,2,40,1.175
2,abib,껌딱지 시트 마스크 아쿠아 스티커,0,41,32,4,0,6,23,11,9,28,0,33,6,1,40,1.2
3,abib,껌딱지 시트 마스크 어성초 스티커,8,84,23,2,0,12,28,19,6,52,1,25,1,0,27,1
4,abib,껌딱지 시트 마스크 히알루론 스티커,0,8,4,0,0,3,2,1,2,4,0,0,0,0,0,0
5,abib,라이스 프로바이오틱스 오버나이트 마스크 배리어 젤리,1,6,3,0,0,0,1,4,4,1,0,0,0,0,0,0
6,abib,루미너스 세럼 멜팅 비타,0,9,3,3,0,1,4,2,2,6,0,0,0,0,0,0
7,abib,리밸런싱 에멀전 스킨 부스터,0,9,6,0,0,1,3,1,2,8,0,0,0,0,0,0
8,abib,리밸런싱 토너 스킨 부스터,0,19,11,2,2,6,6,3,3,14,1,34,0,0,35,0.971428571
9,abib,릴렉싱 슬리핑팩 브라이트 튜브,1,12,12,4,0,2,10,2,4,11,1,50,8,0,59,1.118644068
10,abib,마일드 선블록 프로텍션 튜브 [SPF50+/PA++++],0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0
11,abib,마일드 애씨딕 워터 클렌저 젠틀워터,0,4,3,3,0,2,2,0,3,3,0,0,0,0,0,0
12,abib,마일드 애씨딕 폼클렌저 젠틀폼,0,6,7,2,0,2,1,1,4,7,0,0,0,0,0,0
13,abib,모이스처라이징 립 밤 릴리프 튜브,0,6,2,1,0,1,1,1,4,2,0,0,0,0,0,0
14,abib,부활초 크림 뉴트리션 튜브,0,7,3,1,0,0,2,0,3,6,0,0,0,0,0,0
15,abib,브라이트닝 쿠션 컴팩트 벨벳 베일 [SPF50+/PA+++],0,11,6,1,0,1,6,3,4,4,0,0,0,0,0,0
16,abib,아크네 폼 클렌저 어성초 폼,2,16,11,0,0,1,6,6,4,12,0,19,1,0,20,1.05
17,abib,약산성 pH 시트 마스크 아쿠아 핏,1,63,44,4,0,9,22,18,14,49,2,43,0,0,45,0.955555556
18,abib,약산성 pH 시트 마스크 어성초 핏,12,84,20,2,0,19,26,24,6,43,0,29,0,0,29,1
19,abib,약산성 pH 시트 마스크 유자 핏,1,19,10,2,0,3,8,3,6,12,0,0,0,0,0,0
20,abib,약산성 pH 시트 마스크 허니 핏,0,26,23,3,0,6,19,6,7,14,3,30,1,1,35,1
21,abib,어성초 선 에센스 카밍 드롭 [SPF50+/PA++++],0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,abib,어성초 스팟 패드 카밍 터치,8,70,37,4,1,13,22,25,8,51,1,23,0,0,24,0.958333333
23,abib,어성초 에센스 카밍 펌프,4,72,39,3,0,17,19,11,8,63,0,18,2,0,20,1.1
24,abib,어성초 카밍 토너 스킨 부스터,2,15,5,0,0,4,4,3,2,9,3,20,0,0,23,0.869565217
25,abib,옥죽 에센스 뉴트리션 펌프,0,9,8,3,0,2,4,1,4,9,0,0,0,0,0,0
26,abib,유자 에센스 바이탈라이징 펌프,0,6,7,1,0,1,1,1,3,8,0,0,0,0,0,0
27,abib,인리치드 크림 징크 튜브,0,13,6,2,0,2,2,2,6,9,0,0,0,0,0,0
28,abib,카밍 페이셜 솝 어성초 스톤,0,2,3,0,0,0,0,2,1,2,0,0,0,0,0,0
29,abib,퀵 선스틱 프로텍션 바 [SPF50+/PA++++],0,21,17,5,1,4,9,6,4,20,3,23,4,0,30,1.033333333
30,abib,크림 코팅 마스크 쿨링 솔루션,0,12,7,4,1,3,6,3,4,7,0,36,6,0,42,1.142857143
31,abib,크림 코팅 마스크 톤업 솔루션,2,22,18,4,0,3,10,7,6,20,0,0,0,0,0,0
32,abib,톤업 선스틱 실키 바 [SPF50+/PA++++],0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
